"Date et heure","Date et heure(RAW)","Mémoire disponible (%)","Mémoire disponible (%)(RAW)","Mémoire disponible","Mémoire disponible(RAW)","Temps mort","Temps mort(RAW)","Couverture","Couverture(RAW)"
"13/08/2024 00:00:00 - 01:00:00","45516.9583333333","","","","","","","0 %","0000000000"
"13/08/2024 01:00:00 - 02:00:00","45517.0000000000","","","","","","","0 %","0000000000"
"13/08/2024 02:00:00 - 03:00:00","45517.0416666667","11 %","11.0000","7,19 Go","7722678954.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 03:00:00 - 04:00:00","45517.0833333333","11 %","11.0000","7,16 Go","7685438805.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 04:00:00 - 05:00:00","45517.1250000000","11 %","11.0000","7,15 Go","7676203690.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 05:00:00 - 06:00:00","45517.1666666667","11 %","11.0000","7,09 Go","7618055509.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 06:00:00 - 07:00:00","45517.2083333333","11 %","11.0000","7,08 Go","7604647253.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 07:00:00 - 08:00:00","45517.2500000000","11 %","10.8333","7 Go","7515415893.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 08:00:00 - 09:00:00","45517.2916666667","11 %","11.0000","7,08 Go","7597842432.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 09:00:00 - 10:00:00","45517.3333333333","11 %","11.0000","7,08 Go","7598650026.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 10:00:00 - 11:00:00","45517.3750000000","11 %","11.0000","7,05 Go","7566289578.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 11:00:00 - 12:00:00","45517.4166666667","11 %","11.0000","7,09 Go","7615255552.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 12:00:00 - 13:00:00","45517.4583333333","11 %","11.0000","7,16 Go","7692244309.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 13:00:00 - 14:00:00","45517.5000000000","11 %","11.0000","7,17 Go","7694314837.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 14:00:00 - 15:00:00","45517.5416666667","11 %","11.0000","7,17 Go","7699092138.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 15:00:00 - 16:00:00","45517.5833333333","11 %","11.0000","7,16 Go","7690305536.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 16:00:00 - 17:00:00","45517.6250000000","11 %","11.0000","7,15 Go","7679654570.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 17:00:00 - 18:00:00","45517.6666666667","11 %","11.0000","7,15 Go","7672332288.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 18:00:00 - 19:00:00","45517.7083333333","11 %","11.0000","7,15 Go","7676366848.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 19:00:00 - 20:00:00","45517.7500000000","11 %","11.0000","7,17 Go","7697511765.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 20:00:00 - 21:00:00","45517.7916666667","11 %","11.0000","7,16 Go","7690651648.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 21:00:00 - 22:00:00","45517.8333333333","11 %","11.0000","7,15 Go","7681869141.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 22:00:00 - 23:00:00","45517.8750000000","11 %","11.0000","7,16 Go","7686135125.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 23:00:00 - 00:00:00","45517.9166666667","11 %","11.0000","7,14 Go","7664407210.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 00:00:00 - 01:00:00","45517.9583333333","11 %","11.0000","7,10 Go","7621274965.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 01:00:00 - 02:00:00","45518.0000000000","11 %","11.0000","7,14 Go","7662768810.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 02:00:00 - 03:00:00","45518.0416666667","11 %","11.0000","7,05 Go","7566150997.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 03:00:00 - 04:00:00","45518.0833333333","11 %","11.0000","7,04 Go","7564385621.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 04:00:00 - 05:00:00","45518.1250000000","11 %","11.0000","7,01 Go","7524270762.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 05:00:00 - 06:00:00","45518.1666666667","11 %","11.0000","6,99 Go","7506228565.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 06:00:00 - 07:00:00","45518.2083333333","11 %","11.0000","6,99 Go","7508146858.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 07:00:00 - 08:00:00","45518.2500000000","11 %","11.0000","7,01 Go","7526301013.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 08:00:00 - 09:00:00","45518.2916666667","11 %","11.0000","7,02 Go","7534314154.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 09:00:00 - 10:00:00","45518.3333333333","11 %","11.0000","7,03 Go","7549331456.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 10:00:00 - 11:00:00","45518.3750000000","11 %","11.0000","6,99 Go","7507114666.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 11:00:00 - 12:00:00","45518.4166666667","11 %","11.0000","7,04 Go","7561721173.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 12:00:00 - 13:00:00","45518.4583333333","11 %","11.0000","7,07 Go","7595104256.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 13:00:00 - 14:00:00","45518.5000000000","11 %","11.0000","7,07 Go","7590673066.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 14:00:00 - 15:00:00","45518.5416666667","11 %","11.0000","7,09 Go","7616949589.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 15:00:00 - 16:00:00","45518.5833333333","11 %","11.0000","7,08 Go","7605276672.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 16:00:00 - 17:00:00","45518.6250000000","11 %","11.0000","7,10 Go","7625596245.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 17:00:00 - 18:00:00","45518.6666666667","11 %","11.0000","7,13 Go","7658129408.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 18:00:00 - 19:00:00","45518.7083333333","11 %","11.0000","7,15 Go","7678137685.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 19:00:00 - 20:00:00","45518.7500000000","11 %","11.0000","7,15 Go","7680008192.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 20:00:00 - 21:00:00","45518.7916666667","11 %","11.0000","7,13 Go","7655754410.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 21:00:00 - 22:00:00","45518.8333333333","11 %","11.0000","7,11 Go","7638560085.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 22:00:00 - 23:00:00","45518.8750000000","11 %","11.0000","7,11 Go","7634000554.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 23:00:00 - 00:00:00","45518.9166666667","11 %","11.0000","7,10 Go","7625994922.6667","0 %","0.0000","100 %","0000010000"
"15/08/2024 00:00:00 - 01:00:00","45518.9583333333","11 %","11.0000","7,10 Go","7623816533.3333","0 %","0.0000","100 %","0000010000"
"15/08/2024 01:00:00 - 02:00:00","45519.0000000000","11 %","11.0000","7,10 Go","7624022698.6667","0 %","0.0000","100 %","0000010000"
"15/08/2024 02:00:00 - 03:00:00","45519.0416666667","11 %","11.0000","7,07 Go","7587644757.3333","0 %","0.0000","100 %","0000010000"
"15/08/2024 03:00:00 - 04:00:00","45519.0833333333","11 %","11.0000","7,04 Go","7559611733.3333","0 %","0.0000","100 %","0000010000"
"15/08/2024 04:00:00 - 05:00:00","45519.1250000000","11 %","11.0000","7 Go","7510843392.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 05:00:00 - 06:00:00","45519.1666666667","11 %","11.0000","6,95 Go","7466373120.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 06:00:00 - 07:00:00","45519.2083333333","11 %","11.0000","6,95 Go","7461242880.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 07:00:00 - 08:00:00","45519.2500000000","11 %","11.0000","6,94 Go","7456427349.3333","0 %","0.0000","100 %","0000010000"
"15/08/2024 08:00:00 - 09:00:00","45519.2916666667","11 %","11.0000","6,96 Go","7477174954.6667","0 %","0.0000","100 %","0000010000"
"15/08/2024 09:00:00 - 10:00:00","45519.3333333333","11 %","11.0000","7 Go","7521486848.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 10:00:00 - 11:00:00","45519.3750000000","11 %","11.0000","6,99 Go","7509422762.6667","0 %","0.0000","100 %","0000010000"
"15/08/2024 11:00:00 - 12:00:00","45519.4166666667","11 %","11.0000","7,02 Go","7541770922.6667","0 %","0.0000","100 %","0000010000"
"15/08/2024 12:00:00 - 13:00:00","45519.4583333333","9 %","9.3333","5,96 Go","6403147093.3333","0 %","0.0000","100 %","0000010000"
"15/08/2024 13:00:00 - 14:00:00","45519.5000000000","10 %","10.0000","6,47 Go","6942720682.6667","0 %","0.0000","100 %","0000010000"
"15/08/2024 14:00:00 - 15:00:00","45519.5416666667","10 %","10.0000","6,45 Go","6926765397.3333","0 %","0.0000","100 %","0000010000"
"15/08/2024 15:00:00 - 16:00:00","45519.5833333333","10 %","10.0000","6,45 Go","6924842325.3333","0 %","0.0000","100 %","0000010000"
"15/08/2024 16:00:00 - 17:00:00","45519.6250000000","10 %","10.0000","6,46 Go","6936883200.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 17:00:00 - 18:00:00","45519.6666666667","10 %","10.0000","6,44 Go","6917872981.3333","0 %","0.0000","100 %","0000010000"
"15/08/2024 18:00:00 - 19:00:00","45519.7083333333","10 %","10.0000","6,45 Go","6923757568.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 19:00:00 - 20:00:00","45519.7500000000","10 %","10.0000","6,44 Go","6917888682.6667","0 %","0.0000","100 %","0000010000"
"15/08/2024 20:00:00 - 21:00:00","45519.7916666667","10 %","10.0000","6,46 Go","6937359701.3333","0 %","0.0000","100 %","0000010000"
"15/08/2024 21:00:00 - 22:00:00","45519.8333333333","10 %","10.0000","6,46 Go","6934703445.3333","0 %","0.0000","100 %","0000010000"
"15/08/2024 22:00:00 - 23:00:00","45519.8750000000","10 %","10.0000","6,45 Go","6923895466.6667","0 %","0.0000","100 %","0000010000"
"15/08/2024 23:00:00 - 00:00:00","45519.9166666667","10 %","10.0000","6,44 Go","6915614037.3333","0 %","0.0000","100 %","0000010000"
"16/08/2024 00:00:00 - 01:00:00","45519.9583333333","10 %","10.0000","6,44 Go","6915093162.6667","0 %","0.0000","100 %","0000010000"
"16/08/2024 01:00:00 - 02:00:00","45520.0000000000","10 %","10.0000","6,43 Go","6907460266.6667","0 %","0.0000","100 %","0000010000"
"16/08/2024 02:00:00 - 03:00:00","45520.0416666667","10 %","10.0000","6,58 Go","7065389738.6667","0 %","0.0000","100 %","0000010000"
"16/08/2024 03:00:00 - 04:00:00","45520.0833333333","10 %","10.0000","6,56 Go","7045265408.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 04:00:00 - 05:00:00","45520.1250000000","10 %","10.0000","6,53 Go","7013784234.6667","0 %","0.0000","100 %","0000010000"
"16/08/2024 05:00:00 - 06:00:00","45520.1666666667","10 %","10.0000","6,47 Go","6945397418.6667","0 %","0.0000","100 %","0000010000"
"16/08/2024 06:00:00 - 07:00:00","45520.2083333333","10 %","10.0000","6,46 Go","6941020842.6667","0 %","0.0000","100 %","0000010000"
"16/08/2024 07:00:00 - 08:00:00","45520.2500000000","10 %","10.0000","6,46 Go","6941737642.6667","0 %","0.0000","100 %","0000010000"
"16/08/2024 08:00:00 - 09:00:00","45520.2916666667","10 %","10.0000","6,48 Go","6962051072.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 09:00:00 - 10:00:00","45520.3333333333","10 %","10.0000","6,49 Go","6963510613.3333","0 %","0.0000","100 %","0000010000"
"16/08/2024 10:00:00 - 11:00:00","45520.3750000000","10 %","10.0000","6,45 Go","6929956181.3333","0 %","0.0000","100 %","0000010000"
"16/08/2024 11:00:00 - 12:00:00","45520.4166666667","10 %","10.0000","6,44 Go","6911250432.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 12:00:00 - 13:00:00","45520.4583333333","10 %","10.0000","6,48 Go","6953580544.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 13:00:00 - 14:00:00","45520.5000000000","10 %","10.0000","6,49 Go","6968432640.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 14:00:00 - 15:00:00","45520.5416666667","10 %","10.0000","6,49 Go","6964335957.3333","0 %","0.0000","100 %","0000010000"
"16/08/2024 15:00:00 - 16:00:00","45520.5833333333","10 %","10.0000","6,47 Go","6952178346.6667","0 %","0.0000","100 %","0000010000"
"16/08/2024 16:00:00 - 17:00:00","45520.6250000000","10 %","10.0000","6,50 Go","6975296170.6667","0 %","0.0000","100 %","0000010000"
"16/08/2024 17:00:00 - 18:00:00","45520.6666666667","10 %","10.0000","6,51 Go","6987991040.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 18:00:00 - 19:00:00","45520.7083333333","10 %","10.0000","6,54 Go","7018891264.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 19:00:00 - 20:00:00","45520.7500000000","10 %","10.0000","6,55 Go","7032158890.6667","0 %","0.0000","100 %","0000010000"
"16/08/2024 20:00:00 - 21:00:00","45520.7916666667","10 %","10.0000","6,54 Go","7025134250.6667","0 %","0.0000","100 %","0000010000"
"16/08/2024 21:00:00 - 22:00:00","45520.8333333333","10 %","10.0000","6,54 Go","7020692821.3333","0 %","0.0000","100 %","0000010000"
"16/08/2024 22:00:00 - 23:00:00","45520.8750000000","10 %","10.0000","6,54 Go","7024355328.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 23:00:00 - 00:00:00","45520.9166666667","10 %","10.0000","6,53 Go","7013186901.3333","0 %","0.0000","100 %","0000010000"
"17/08/2024 00:00:00 - 01:00:00","45520.9583333333","10 %","10.0000","6,51 Go","6989841749.3333","0 %","0.0000","100 %","0000010000"
"17/08/2024 01:00:00 - 02:00:00","45521.0000000000","10 %","10.0000","6,55 Go","7028418560.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 02:00:00 - 03:00:00","45521.0416666667","10 %","10.0000","6,56 Go","7040746837.3333","0 %","0.0000","100 %","0000010000"
"17/08/2024 03:00:00 - 04:00:00","45521.0833333333","10 %","10.0000","6,50 Go","6980392960.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 04:00:00 - 05:00:00","45521.1250000000","10 %","10.0000","6,48 Go","6958141440.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 05:00:00 - 06:00:00","45521.1666666667","10 %","10.0000","6,49 Go","6972953941.3333","0 %","0.0000","100 %","0000010000"
"17/08/2024 06:00:00 - 07:00:00","45521.2083333333","10 %","10.0000","6,67 Go","7165105493.3333","0 %","0.0000","100 %","0000010000"
"17/08/2024 07:00:00 - 08:00:00","45521.2500000000","10 %","10.0000","6,68 Go","7177869312.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 08:00:00 - 09:00:00","45521.2916666667","10 %","10.0000","6,69 Go","7187033429.3333","0 %","0.0000","100 %","0000010000"
"17/08/2024 09:00:00 - 10:00:00","45521.3333333333","10 %","10.0000","6,69 Go","7180122112.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 10:00:00 - 11:00:00","45521.3750000000","10 %","10.0000","6,67 Go","7164495189.3333","0 %","0.0000","100 %","0000010000"
"17/08/2024 11:00:00 - 12:00:00","45521.4166666667","10 %","10.5000","6,73 Go","7228469930.6667","0 %","0.0000","100 %","0000010000"
"17/08/2024 12:00:00 - 13:00:00","45521.4583333333","11 %","11.0000","6,76 Go","7262623744.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 13:00:00 - 14:00:00","45521.5000000000","11 %","11.0000","6,79 Go","7285686272.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 14:00:00 - 15:00:00","45521.5416666667","11 %","11.0000","6,80 Go","7302479872.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 15:00:00 - 16:00:00","45521.5833333333","11 %","11.0000","6,78 Go","7277799424.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 16:00:00 - 17:00:00","45521.6250000000","11 %","11.0000","6,79 Go","7293657770.6667","0 %","0.0000","100 %","0000010000"
"17/08/2024 17:00:00 - 18:00:00","45521.6666666667","11 %","11.0000","6,79 Go","7294517930.6667","0 %","0.0000","100 %","0000010000"
"17/08/2024 18:00:00 - 19:00:00","45521.7083333333","11 %","11.0000","6,80 Go","7301430613.3333","0 %","0.0000","100 %","0000010000"
"17/08/2024 19:00:00 - 20:00:00","45521.7500000000","11 %","11.0000","6,79 Go","7293209941.3333","0 %","0.0000","100 %","0000010000"
"17/08/2024 20:00:00 - 21:00:00","45521.7916666667","11 %","11.0000","6,78 Go","7283251200.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 21:00:00 - 22:00:00","45521.8333333333","11 %","11.0000","6,78 Go","7283578880.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 22:00:00 - 23:00:00","45521.8750000000","11 %","11.0000","6,78 Go","7283633493.3333","0 %","0.0000","100 %","0000010000"
"17/08/2024 23:00:00 - 00:00:00","45521.9166666667","11 %","11.0000","6,78 Go","7281329493.3333","0 %","0.0000","100 %","0000010000"
"18/08/2024 00:00:00 - 01:00:00","45521.9583333333","11 %","11.0000","6,78 Go","7280816128.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 01:00:00 - 02:00:00","45522.0000000000","11 %","11.0000","6,78 Go","7279813290.6667","0 %","0.0000","100 %","0000010000"
"18/08/2024 02:00:00 - 03:00:00","45522.0416666667","11 %","10.8333","6,78 Go","7282374656.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 03:00:00 - 04:00:00","45522.0833333333","10 %","10.5000","6,73 Go","7231240192.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 04:00:00 - 05:00:00","45522.1250000000","10 %","10.5000","6,72 Go","7211767125.3333","0 %","0.0000","100 %","0000010000"
"18/08/2024 05:00:00 - 06:00:00","45522.1666666667","11 %","10.8333","6,73 Go","7229775189.3333","0 %","0.0000","100 %","0000010000"
"18/08/2024 06:00:00 - 07:00:00","45522.2083333333","11 %","10.6667","6,73 Go","7223538346.6667","0 %","0.0000","100 %","0000010000"
"18/08/2024 07:00:00 - 08:00:00","45522.2500000000","10 %","10.1667","6,71 Go","7208448000.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 08:00:00 - 09:00:00","45522.2916666667","10 %","10.0000","6,71 Go","7206707882.6667","0 %","0.0000","100 %","0000010000"
"18/08/2024 09:00:00 - 10:00:00","45522.3333333333","10 %","10.1667","6,70 Go","7192326144.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 10:00:00 - 11:00:00","45522.3750000000","10 %","10.0000","6,65 Go","7135066794.6667","0 %","0.0000","100 %","0000010000"
"18/08/2024 11:00:00 - 12:00:00","45522.4166666667","10 %","10.0000","6,63 Go","7116702378.6667","0 %","0.0000","100 %","0000010000"
"18/08/2024 12:00:00 - 13:00:00","45522.4583333333","10 %","10.0000","6,64 Go","7134077610.6667","0 %","0.0000","100 %","0000010000"
"18/08/2024 13:00:00 - 14:00:00","45522.5000000000","10 %","10.0000","6,68 Go","7173293397.3333","0 %","0.0000","100 %","0000010000"
"18/08/2024 14:00:00 - 15:00:00","45522.5416666667","10 %","10.0000","6,69 Go","7180021077.3333","0 %","0.0000","100 %","0000010000"
"18/08/2024 15:00:00 - 16:00:00","45522.5833333333","10 %","10.0000","6,68 Go","7168360448.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 16:00:00 - 17:00:00","45522.6250000000","10 %","10.0000","6,69 Go","7179143850.6667","0 %","0.0000","100 %","0000010000"
"18/08/2024 17:00:00 - 18:00:00","45522.6666666667","10 %","10.0000","6,66 Go","7156214442.6667","0 %","0.0000","100 %","0000010000"
"18/08/2024 18:00:00 - 19:00:00","45522.7083333333","10 %","10.0000","6,66 Go","7155055957.3333","0 %","0.0000","100 %","0000010000"
"18/08/2024 19:00:00 - 20:00:00","45522.7500000000","10 %","10.0000","6,65 Go","7144790698.6667","0 %","0.0000","100 %","0000010000"
"18/08/2024 20:00:00 - 21:00:00","45522.7916666667","10 %","10.0000","6,65 Go","7144755200.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 21:00:00 - 22:00:00","45522.8333333333","10 %","10.0000","6,67 Go","7161700352.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 22:00:00 - 23:00:00","45522.8750000000","10 %","10.0000","6,68 Go","7177693184.0000","0 %","0.0000","100 %","0000010000"
"18/08/2024 23:00:00 - 00:00:00","45522.9166666667","10 %","10.0000","6,70 Go","7196928682.6667","0 %","0.0000","100 %","0000010000"
"19/08/2024 00:00:00 - 01:00:00","45522.9583333333","10 %","10.1667","6,71 Go","7200025258.6667","0 %","0.0000","100 %","0000010000"
"19/08/2024 01:00:00 - 02:00:00","45523.0000000000","10 %","10.0000","6,71 Go","7200826026.6667","0 %","0.0000","100 %","0000010000"
"19/08/2024 02:00:00 - 03:00:00","45523.0416666667","10 %","10.3333","6,73 Go","7221817344.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 03:00:00 - 04:00:00","45523.0833333333","10 %","10.0000","6,69 Go","7183724544.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 04:00:00 - 05:00:00","45523.1250000000","10 %","10.0000","6,66 Go","7150899200.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 05:00:00 - 06:00:00","45523.1666666667","10 %","10.0000","6,62 Go","7111430826.6667","0 %","0.0000","100 %","0000010000"
"19/08/2024 06:00:00 - 07:00:00","45523.2083333333","10 %","10.0000","6,62 Go","7104145408.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 07:00:00 - 08:00:00","45523.2500000000","10 %","10.0000","6,61 Go","7099062954.6667","0 %","0.0000","100 %","0000010000"
"19/08/2024 08:00:00 - 09:00:00","45523.2916666667","10 %","10.0000","6,61 Go","7095087786.6667","0 %","0.0000","100 %","0000010000"
"19/08/2024 09:00:00 - 10:00:00","45523.3333333333","10 %","10.0000","6,67 Go","7160680448.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 10:00:00 - 11:00:00","45523.3750000000","10 %","10.0000","6,65 Go","7142726314.6667","0 %","0.0000","100 %","0000010000"
"19/08/2024 11:00:00 - 12:00:00","45523.4166666667","10 %","10.1667","6,68 Go","7173647701.3333","0 %","0.0000","100 %","0000010000"
"19/08/2024 12:00:00 - 13:00:00","45523.4583333333","11 %","11.0000","6,73 Go","7230609408.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 13:00:00 - 14:00:00","45523.5000000000","11 %","10.8333","6,74 Go","7237836800.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 14:00:00 - 15:00:00","45523.5416666667","11 %","11.0000","6,74 Go","7239667712.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 15:00:00 - 16:00:00","45523.5833333333","11 %","10.8333","6,75 Go","7246439765.3333","0 %","0.0000","100 %","0000010000"
"19/08/2024 16:00:00 - 17:00:00","45523.6250000000","11 %","11.0000","6,77 Go","7264446464.0000","0 %","0.0000","100 %","0000010000"
"19/08/2024 17:00:00 - 18:00:00","45523.6666666667","11 %","11.0000","6,79 Go","7288264021.3333","0 %","0.0000","100 %","0000010000"
"19/08/2024 18:00:00 - 19:00:00","45523.7083333333","11 %","11.0000","6,79 Go","7293184682.6667","0 %","0.0000","100 %","0000010000"
"19/08/2024 19:00:00 - 20:00:00","45523.7500000000","11 %","11.0000","6,80 Go","7299439274.6667","0 %","0.0000","100 %","0000010000"
"19/08/2024 20:00:00 - 21:00:00","45523.7916666667","11 %","11.0000","6,79 Go","7288339797.3333","0 %","0.0000","100 %","0000010000"
"19/08/2024 21:00:00 - 22:00:00","45523.8333333333","11 %","11.0000","6,77 Go","7269001898.6667","0 %","0.0000","100 %","0000010000"
"19/08/2024 22:00:00 - 23:00:00","45523.8750000000","11 %","11.0000","6,77 Go","7265725098.6667","0 %","0.0000","100 %","0000010000"
"19/08/2024 23:00:00 - 00:00:00","45523.9166666667","11 %","10.8333","6,76 Go","7257181525.3333","0 %","0.0000","100 %","0000010000"
"20/08/2024 00:00:00 - 01:00:00","45523.9583333333","11 %","11.0000","6,78 Go","7274931541.3333","0 %","0.0000","100 %","0000010000"
"20/08/2024 01:00:00 - 02:00:00","45524.0000000000","11 %","11.0000","6,78 Go","7281178624.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 02:00:00 - 03:00:00","45524.0416666667","10 %","10.5000","6,76 Go","7263332352.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 03:00:00 - 04:00:00","45524.0833333333","10 %","10.3333","6,72 Go","7217655125.3333","0 %","0.0000","100 %","0000010000"
"20/08/2024 04:00:00 - 05:00:00","45524.1250000000","10 %","10.0000","6,67 Go","7164263082.6667","0 %","0.0000","100 %","0000010000"
"20/08/2024 05:00:00 - 06:00:00","45524.1666666667","10 %","10.0000","6,63 Go","7121243477.3333","0 %","0.0000","100 %","0000010000"
"20/08/2024 06:00:00 - 07:00:00","45524.2083333333","10 %","10.0000","6,62 Go","7111820629.3333","0 %","0.0000","100 %","0000010000"
"20/08/2024 07:00:00 - 08:00:00","45524.2500000000","10 %","10.0000","6,61 Go","7102350677.3333","0 %","0.0000","100 %","0000010000"
"20/08/2024 08:00:00 - 09:00:00","45524.2916666667","10 %","10.0000","6,62 Go","7110671018.6667","0 %","0.0000","100 %","0000010000"
"20/08/2024 09:00:00 - 10:00:00","45524.3333333333","10 %","10.0000","6,64 Go","7129058645.3333","0 %","0.0000","100 %","0000010000"
"20/08/2024 10:00:00 - 11:00:00","45524.3750000000","10 %","10.0000","6,62 Go","7112935424.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 11:00:00 - 12:00:00","45524.4166666667","10 %","10.0000","6,63 Go","7117223936.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 12:00:00 - 13:00:00","45524.4583333333","10 %","10.0000","6,68 Go","7168182954.6667","0 %","0.0000","100 %","0000010000"
"20/08/2024 13:00:00 - 14:00:00","45524.5000000000","10 %","10.0000","6,68 Go","7175402837.3333","0 %","0.0000","100 %","0000010000"
"20/08/2024 14:00:00 - 15:00:00","45524.5416666667","10 %","10.1667","6,71 Go","7201025365.3333","0 %","0.0000","100 %","0000010000"
"20/08/2024 15:00:00 - 16:00:00","45524.5833333333","10 %","10.1667","6,70 Go","7196019370.6667","0 %","0.0000","100 %","0000010000"
"20/08/2024 16:00:00 - 17:00:00","45524.6250000000","10 %","10.1667","6,70 Go","7195266389.3333","0 %","0.0000","100 %","0000010000"
"20/08/2024 17:00:00 - 18:00:00","45524.6666666667","10 %","10.0000","6,71 Go","7202026154.6667","0 %","0.0000","100 %","0000010000"
"20/08/2024 18:00:00 - 19:00:00","45524.7083333333","10 %","10.3333","6,71 Go","7206640298.6667","0 %","0.0000","100 %","0000010000"
"20/08/2024 19:00:00 - 20:00:00","45524.7500000000","10 %","10.5000","6,72 Go","7216765610.6667","0 %","0.0000","100 %","0000010000"
"20/08/2024 20:00:00 - 21:00:00","45524.7916666667","10 %","10.1667","6,71 Go","7209624234.6667","0 %","0.0000","100 %","0000010000"
"20/08/2024 21:00:00 - 22:00:00","45524.8333333333","10 %","10.0000","6,70 Go","7199057920.0000","0 %","0.0000","100 %","0000010000"
"20/08/2024 22:00:00 - 23:00:00","45524.8750000000","10 %","10.0000","6,70 Go","7197308245.3333","0 %","0.0000","100 %","0000010000"
