"Date et heure","Date et heure(RAW)","Somme","Somme(RAW)","Processeur 1","Processeur 1(RAW)","Processeur 2","Processeur 2(RAW)","Processeur 3","Processeur 3(RAW)","Processeur 4","Processeur 4(RAW)","Processeur 5","Processeur 5(RAW)","Processeur 6","Processeur 6(RAW)","Processeur 7","Processeur 7(RAW)","Processeur 8","Processeur 8(RAW)","Temps mort","Temps mort(RAW)","Couverture","Couverture(RAW)"
"13/08/2024 00:00:00 - 01:00:00","45516.9583333333","","","","","","","","","","","","","","","","","","","","","0 %","0000000000"
"13/08/2024 01:00:00 - 02:00:00","45517.0000000000","","","","","","","","","","","","","","","","","","","","","0 %","0000000000"
"13/08/2024 02:00:00 - 03:00:00","45517.0416666667","12 %","11.5833","6 %","5.7500","7 %","7.3333","26 %","26.5000","9 %","9.4167","7 %","7.1667","7 %","7.0000","18 %","18.0000","12 %","11.5000","0 %","0.0000","40 %","0000004000"
"13/08/2024 03:00:00 - 04:00:00","45517.0833333333","0,08 %","0.0833","","0.0833","","0.0833","","0.0833","","0.3333","","0.0833","","0.1667","","0.0833","","0.0833","0 %","0.0000","40 %","0000004000"
"13/08/2024 04:00:00 - 05:00:00","45517.1250000000","0,08 %","0.0833","","0.0833","","0.0833","","0.1667","","0.4167","","0.0833","","0.0833","","0.1667","","0.0833","0 %","0.0000","40 %","0000004000"
"13/08/2024 05:00:00 - 06:00:00","45517.1666666667","27 %","26.9167","18 %","17.9167","33 %","32.5833","28 %","27.5833","33 %","33.1667","32 %","32.2500","19 %","18.5833","30 %","30.2500","24 %","23.7500","0 %","0.0000","40 %","0000004000"
"13/08/2024 06:00:00 - 07:00:00","45517.2083333333","30 %","29.6667","18 %","18.0000","36 %","35.5000","30 %","30.4167","36 %","35.6667","35 %","35.1667","19 %","18.5833","36 %","36.4167","27 %","26.5833","0 %","0.0000","40 %","0000004000"
"13/08/2024 07:00:00 - 08:00:00","45517.2500000000","30 %","30.2500","21 %","21.0000","35 %","34.5833","31 %","31.4167","34 %","34.4167","36 %","35.9167","21 %","20.5833","34 %","34.5000","29 %","29.0000","0 %","0.0000","40 %","0000004000"
"13/08/2024 08:00:00 - 09:00:00","45517.2916666667","5,08 %","5.0833","3 %","3.0000","5 %","4.9167","6 %","5.6667","6 %","6.0833","5 %","5.3333","3 %","2.8333","8 %","8.4167","5 %","4.9167","0 %","0.0000","40 %","0000004000"
"13/08/2024 09:00:00 - 10:00:00","45517.3333333333","5,42 %","5.4167","1 %","1.2500","6 %","6.1667","7 %","6.5833","8 %","7.6667","8 %","7.5000","1 %","1.3333","8 %","7.5833","6 %","5.6667","0 %","0.0000","40 %","0000004000"
"13/08/2024 10:00:00 - 11:00:00","45517.3750000000","9,08 %","9.0833","4 %","4.5000","8 %","8.2500","9 %","9.1667","12 %","12.1667","11 %","11.3333","8 %","7.5833","10 %","10.2500","9 %","8.9167","0 %","0.0000","40 %","0000004000"
"13/08/2024 11:00:00 - 12:00:00","45517.4166666667","2,46 %","2.4615","","0.6923","3 %","3.0000","4 %","3.8462","2 %","2.4615","3 %","2.7692","1 %","1.3077","3 %","3.3077","2 %","1.6154","0 %","0.0000","43 %","0000004333"
"13/08/2024 12:00:00 - 13:00:00","45517.4583333333","0,83 %","0.8333","","0.2500","","0.8333","2 %","2.0833","2 %","1.5000","","0.5833","","0.2500","1 %","1.4167","","0.5000","0 %","0.0000","40 %","0000004000"
"13/08/2024 13:00:00 - 14:00:00","45517.5000000000","11 %","11.2500","9 %","9.0833","10 %","10.4167","17 %","17.0000","10 %","10.4167","10 %","10.4167","10 %","10.2500","13 %","13.1667","9 %","9.4167","0 %","0.0000","40 %","0000004000"
"13/08/2024 14:00:00 - 15:00:00","45517.5416666667","2,25 %","2.2500","","0.9167","2 %","2.5000","4 %","4.3333","3 %","2.7500","2 %","2.5000","","0.9167","3 %","3.0833","1 %","1.0833","0 %","0.0000","40 %","0000004000"
"13/08/2024 15:00:00 - 16:00:00","45517.5833333333","2,83 %","2.8333","1 %","1.2500","3 %","2.8333","4 %","4.0000","4 %","4.0833","3 %","3.2500","1 %","1.2500","5 %","4.9167","2 %","1.8333","0 %","0.0000","40 %","0000004000"
"13/08/2024 16:00:00 - 17:00:00","45517.6250000000","1,75 %","1.7500","","0.4167","1 %","1.3333","4 %","4.4167","2 %","2.1667","1 %","1.3333","","0.6667","3 %","2.8333","","0.8333","0 %","0.0000","40 %","0000004000"
"13/08/2024 17:00:00 - 18:00:00","45517.6666666667","11 %","10.7500","7 %","6.9167","12 %","12.1667","10 %","10.4167","13 %","13.1667","13 %","12.6667","7 %","7.0000","13 %","13.3333","10 %","10.5000","0 %","0.0000","40 %","0000004000"
"13/08/2024 18:00:00 - 19:00:00","45517.7083333333","0,42 %","0.4167","","0.0833","","0.5000","","0.5833","1 %","1.0833","","0.6667","","0.2500","","0.5000","","0.0833","0 %","0.0000","40 %","0000004000"
"13/08/2024 19:00:00 - 20:00:00","45517.7500000000","0,08 %","0.0833","0 %","0.0000","0 %","0.0000","0 %","0.0000","","0.4167","","0.1667","","0.0833","","0.0833","","0.0833","0 %","0.0000","40 %","0000004000"
"13/08/2024 20:00:00 - 21:00:00","45517.7916666667","0,08 %","0.0833","0 %","0.0000","","0.1667","","0.1667","","0.4167","","0.2500","","0.0833","","0.1667","","0.1667","0 %","0.0000","40 %","0000004000"
"13/08/2024 21:00:00 - 22:00:00","45517.8333333333","0,25 %","0.2500","","0.1667","","0.1667","","0.7500","","0.6667","","0.2500","","0.0833","","0.5000","0 %","0.0000","0 %","0.0000","40 %","0000004000"
"13/08/2024 22:00:00 - 23:00:00","45517.8750000000","0,67 %","0.6667","","0.1667","","0.5000","1 %","1.2500","1 %","1.3333","","0.5833","","0.4167","1 %","1.2500","","0.4167","0 %","0.0000","40 %","0000004000"
"13/08/2024 23:00:00 - 00:00:00","45517.9166666667","23 %","22.9167","20 %","20.2500","23 %","22.6667","25 %","25.4167","22 %","22.5000","22 %","22.1667","22 %","21.7500","29 %","28.9167","20 %","20.0833","0 %","0.0000","40 %","0000004000"
"14/08/2024 00:00:00 - 01:00:00","45517.9583333333","27 %","26.5000","11 %","11.4167","45 %","44.7500","24 %","24.5000","24 %","24.0833","38 %","37.7500","17 %","16.9167","27 %","27.0833","25 %","25.4167","8 %","8.3300","40 %","0000004000"
"14/08/2024 01:00:00 - 02:00:00","45518.0000000000","22 %","22.0833","10 %","9.9167","21 %","21.0000","43 %","43.0833","29 %","29.0000","16 %","16.5000","11 %","11.2500","28 %","28.3333","17 %","16.7500","0 %","0.0000","40 %","0000004000"
"14/08/2024 02:00:00 - 03:00:00","45518.0416666667","8,83 %","8.8333","7 %","6.6667","10 %","10.3333","12 %","12.0000","9 %","8.9167","7 %","7.3333","7 %","7.0000","11 %","11.3333","8 %","7.5000","0 %","0.0000","40 %","0000004000"
"14/08/2024 03:00:00 - 04:00:00","45518.0833333333","0,08 %","0.0833","0 %","0.0000","","0.0833","","0.1667","","0.6667","","0.0833","0 %","0.0000","","0.0833","","0.2500","0 %","0.0000","40 %","0000004000"
"14/08/2024 04:00:00 - 05:00:00","45518.1250000000","29 %","28.6667","5 %","4.6667","45 %","45.2500","24 %","23.5833","46 %","46.2500","47 %","47.0000","6 %","5.8333","37 %","37.2500","20 %","20.2500","0 %","0.0000","40 %","0000004000"
"14/08/2024 05:00:00 - 06:00:00","45518.1666666667","34 %","34.0000","16 %","15.5833","44 %","44.5000","32 %","31.6667","44 %","44.0833","45 %","45.3333","13 %","13.2500","43 %","42.5833","33 %","33.1667","0 %","0.0000","40 %","0000004000"
"14/08/2024 06:00:00 - 07:00:00","45518.2083333333","14 %","14.0833","7 %","7.2500","15 %","15.4167","18 %","18.0833","17 %","17.0833","16 %","16.0833","7 %","7.0000","21 %","20.6667","11 %","10.9167","0 %","0.0000","40 %","0000004000"
"14/08/2024 07:00:00 - 08:00:00","45518.2500000000","5,75 %","5.7500","","0.5833","8 %","8.3333","6 %","5.6667","7 %","7.0000","8 %","7.6667","1 %","1.0833","10 %","10.1667","5 %","5.2500","0 %","0.0000","40 %","0000004000"
"14/08/2024 08:00:00 - 09:00:00","45518.2916666667","2,25 %","2.2500","","0.5000","2 %","2.2500","4 %","3.7500","3 %","3.2500","3 %","2.9167","","0.6667","4 %","3.6667","2 %","1.7500","0 %","0.0000","40 %","0000004000"
"14/08/2024 09:00:00 - 10:00:00","45518.3333333333","4,17 %","4.1667","1 %","1.4167","4 %","3.8333","5 %","5.1667","6 %","5.5000","4 %","4.2500","2 %","1.7500","6 %","6.5000","5 %","4.8333","0 %","0.0000","40 %","0000004000"
"14/08/2024 10:00:00 - 11:00:00","45518.3750000000","4,25 %","4.2500","3 %","2.9167","4 %","4.0000","5 %","5.1667","4 %","4.1667","4 %","4.0000","3 %","3.0000","7 %","7.2500","4 %","4.0000","0 %","0.0000","40 %","0000004000"
"14/08/2024 11:00:00 - 12:00:00","45518.4166666667","16 %","16.3333","2 %","2.5000","7 %","6.7500","29 %","28.5833","25 %","24.5833","27 %","26.7500","7 %","6.9167","9 %","8.7500","26 %","26.2500","0 %","0.0000","40 %","0000004000"
"14/08/2024 12:00:00 - 13:00:00","45518.4583333333","8,75 %","8.7500","1 %","1.0833","6 %","5.5833","29 %","28.9167","7 %","6.6667","3 %","3.0000","2 %","1.6667","16 %","15.7500","7 %","6.8333","0 %","0.0000","40 %","0000004000"
"14/08/2024 13:00:00 - 14:00:00","45518.5000000000","3,75 %","3.7500","1 %","1.2500","2 %","1.9167","6 %","5.7500","4 %","3.8333","2 %","2.1667","6 %","5.9167","8 %","7.7500","3 %","2.5833","0 %","0.0000","40 %","0000004000"
"14/08/2024 14:00:00 - 15:00:00","45518.5416666667","1,42 %","1.4167","","0.3333","1 %","1.0833","4 %","3.8333","2 %","1.7500","1 %","1.0000","","0.4167","3 %","2.5833","1 %","1.0000","0 %","0.0000","40 %","0000004000"
"14/08/2024 15:00:00 - 16:00:00","45518.5833333333","0,92 %","0.9167","","0.3333","","0.6667","2 %","2.0000","2 %","1.6667","","0.5833","","0.1667","2 %","2.2500","","0.5833","0 %","0.0000","40 %","0000004000"
"14/08/2024 16:00:00 - 17:00:00","45518.6250000000","2,08 %","2.0833","","0.3333","2 %","2.0833","5 %","5.4167","3 %","2.9167","2 %","1.8333","","0.7500","3 %","2.8333","1 %","1.0000","0 %","0.0000","40 %","0000004000"
"14/08/2024 17:00:00 - 18:00:00","45518.6666666667","0,58 %","0.5833","","0.0833","","0.5000","2 %","1.5833","1 %","1.0833","","0.8333","","0.4167","1 %","1.0833","","0.4167","0 %","0.0000","40 %","0000004000"
"14/08/2024 18:00:00 - 19:00:00","45518.7083333333","0,08 %","0.0833","","0.0833","","0.0833","","0.3333","","0.5000","","0.1667","","0.2500","","0.1667","","0.0833","0 %","0.0000","40 %","0000004000"
"14/08/2024 19:00:00 - 20:00:00","45518.7500000000","0,08 %","0.0833","0 %","0.0000","","0.0833","","0.1667","","0.5000","","0.0833","","0.1667","","0.0833","","0.0833","0 %","0.0000","40 %","0000004000"
"14/08/2024 20:00:00 - 21:00:00","45518.7916666667","0,08 %","0.0833","","0.0833","","0.0833","","0.3333","","0.5833","","0.1667","","0.0833","","0.2500","","0.0833","0 %","0.0000","40 %","0000004000"
"14/08/2024 21:00:00 - 22:00:00","45518.8333333333","0,25 %","0.2500","","0.0833","","0.2500","","0.6667","","0.5833","","0.3333","","0.0833","","0.5000","","0.0833","0 %","0.0000","40 %","0000004000"
"14/08/2024 22:00:00 - 23:00:00","45518.8750000000","0,58 %","0.5833","","0.2500","","0.2500","1 %","1.1667","1 %","1.2500","","0.5000","","0.3333","1 %","1.1667","","0.4167","0 %","0.0000","40 %","0000004000"
"14/08/2024 23:00:00 - 00:00:00","45518.9166666667","24 %","24.0833","22 %","22.1667","22 %","22.5000","26 %","25.8333","23 %","23.2500","26 %","26.3333","23 %","23.3333","26 %","26.5000","23 %","22.6667","0 %","0.0000","40 %","0000004000"
"15/08/2024 00:00:00 - 01:00:00","45518.9583333333","27 %","26.8333","16 %","16.0833","26 %","26.2500","32 %","31.5833","29 %","28.8333","22 %","21.8333","11 %","11.0000","53 %","52.9167","26 %","25.8333","0 %","0.0000","40 %","0000004000"
"15/08/2024 01:00:00 - 02:00:00","45519.0000000000","24 %","23.8333","10 %","10.2500","25 %","24.6667","45 %","45.4167","26 %","25.7500","21 %","21.0000","9 %","9.1667","39 %","38.5833","17 %","16.7500","0 %","0.0000","40 %","0000004000"
"15/08/2024 02:00:00 - 03:00:00","45519.0416666667","13 %","12.8333","9 %","8.9167","10 %","9.5000","29 %","29.0000","10 %","9.6667","9 %","8.5833","8 %","8.0833","21 %","20.7500","9 %","8.7500","0 %","0.0000","40 %","0000004000"
"15/08/2024 03:00:00 - 04:00:00","45519.0833333333","0,08 %","0.0833","0 %","0.0000","","0.0833","0 %","0.0000","","0.6667","","0.2500","","0.0833","","0.0833","","0.1667","0 %","0.0000","40 %","0000004000"
"15/08/2024 04:00:00 - 05:00:00","45519.1250000000","0,25 %","0.2500","1 %","1.2500","","0.0833","","0.3333","","0.6667","","0.1667","","0.0833","","0.2500","","0.3333","0 %","0.0000","40 %","0000004000"
"15/08/2024 05:00:00 - 06:00:00","45519.1666666667","32 %","32.0000","18 %","17.6667","41 %","41.0000","26 %","26.0000","42 %","42.3333","41 %","40.8333","19 %","18.8333","41 %","40.9167","28 %","28.0833","0 %","0.0000","40 %","0000004000"
"15/08/2024 06:00:00 - 07:00:00","45519.2083333333","37 %","37.0833","15 %","15.0000","52 %","52.0000","33 %","33.0000","50 %","49.9167","54 %","53.9167","17 %","17.4167","46 %","46.1667","29 %","28.7500","0 %","0.0000","40 %","0000004000"
"15/08/2024 07:00:00 - 08:00:00","45519.2500000000","24 %","23.8333","11 %","10.7500","31 %","31.0833","21 %","20.8333","31 %","31.1667","32 %","31.8333","12 %","11.5000","31 %","30.8333","23 %","23.0833","0 %","0.0000","40 %","0000004000"
"15/08/2024 08:00:00 - 09:00:00","45519.2916666667","16 %","15.5000","4 %","4.4167","19 %","18.7500","18 %","18.5000","20 %","20.5000","22 %","21.5000","6 %","6.2500","21 %","21.2500","12 %","11.8333","0 %","0.0000","40 %","0000004000"
"15/08/2024 09:00:00 - 10:00:00","45519.3333333333","1,75 %","1.7500","2 %","1.5000","2 %","1.7500","3 %","2.8333","2 %","2.0833","2 %","1.6667","1 %","1.2500","2 %","2.0833","2 %","1.5000","0 %","0.0000","40 %","0000004000"
"15/08/2024 10:00:00 - 11:00:00","45519.3750000000","1,17 %","1.1667","","0.4167","1 %","1.0000","2 %","2.5000","2 %","1.7500","1 %","1.3333","","0.4167","2 %","1.5000","","0.8333","0 %","0.0000","40 %","0000004000"
"15/08/2024 11:00:00 - 12:00:00","45519.4166666667","0,83 %","0.8333","","0.0833","","0.8333","2 %","1.5000","1 %","1.2500","","0.9167","","0.1667","","0.9167","","0.6667","0 %","0.0000","40 %","0000004000"
"15/08/2024 12:00:00 - 13:00:00","45519.4583333333","5,58 %","5.5833","2 %","1.9167","3 %","2.9167","2 %","2.5000","10 %","10.1667","6 %","5.9167","12 %","12.0833","5 %","4.5833","4 %","4.5000","0 %","0.0000","40 %","0000004000"
"15/08/2024 13:00:00 - 14:00:00","45519.5000000000","3,08 %","3.0833","","0.6667","2 %","2.3333","8 %","8.4167","3 %","3.3333","2 %","1.8333","","0.7500","6 %","6.0833","2 %","2.1667","0 %","0.0000","40 %","0000004000"
"15/08/2024 14:00:00 - 15:00:00","45519.5416666667","0,92 %","0.9167","","0.1667","","0.9167","2 %","2.3333","1 %","1.4167","","0.5000","","0.3333","2 %","1.8333","","0.4167","0 %","0.0000","40 %","0000004000"
"15/08/2024 15:00:00 - 16:00:00","45519.5833333333","0,75 %","0.7500","","0.1667","","0.5000","2 %","2.0833","1 %","1.0000","","0.9167","","0.2500","2 %","1.5000","","0.4167","0 %","0.0000","40 %","0000004000"
"15/08/2024 16:00:00 - 17:00:00","45519.6250000000","1 %","1.0000","","0.1667","","0.7500","3 %","2.7500","2 %","1.8333","","0.5833","","0.2500","2 %","1.8333","","0.3333","0 %","0.0000","40 %","0000004000"
"15/08/2024 17:00:00 - 18:00:00","45519.6666666667","0,25 %","0.2500","","0.0833","","0.0833","","0.8333","","0.8333","","0.0833","","0.0833","","0.5833","","0.1667","0 %","0.0000","40 %","0000004000"
"15/08/2024 18:00:00 - 19:00:00","45519.7083333333","0,08 %","0.0833","","0.0833","","0.0833","","0.0833","","0.5833","","0.0833","","0.0833","","0.1667","","0.0833","0 %","0.0000","40 %","0000004000"
"15/08/2024 19:00:00 - 20:00:00","45519.7500000000","0,08 %","0.0833","0 %","0.0000","","0.0833","","0.0833","","0.6667","","0.0833","","0.0833","","0.1667","","0.2500","0 %","0.0000","40 %","0000004000"
"15/08/2024 20:00:00 - 21:00:00","45519.7916666667","0,17 %","0.1667","","0.1667","","0.0833","","0.3333","","0.7500","","0.0833","","0.0833","","0.0833","","0.1667","0 %","0.0000","40 %","0000004000"
"15/08/2024 21:00:00 - 22:00:00","45519.8333333333","0,25 %","0.2500","0 %","0.0000","","0.2500","","0.5000","","0.8333","","0.3333","","0.0833","","0.4167","","0.1667","0 %","0.0000","40 %","0000004000"
"15/08/2024 22:00:00 - 23:00:00","45519.8750000000","0,67 %","0.6667","","0.2500","","0.8333","1 %","1.0833","1 %","1.2500","","0.6667","","0.3333","1 %","1.0833","","0.5000","0 %","0.0000","40 %","0000004000"
"15/08/2024 23:00:00 - 00:00:00","45519.9166666667","23 %","22.8333","18 %","17.5000","22 %","22.3333","26 %","26.0000","25 %","25.3333","25 %","25.0000","20 %","20.2500","23 %","23.0833","23 %","22.6667","0 %","0.0000","40 %","0000004000"
"16/08/2024 00:00:00 - 01:00:00","45519.9583333333","28 %","27.9167","9 %","9.3333","38 %","37.5000","40 %","40.1667","26 %","25.6667","24 %","24.1667","16 %","16.1667","53 %","52.7500","18 %","18.3333","0 %","0.0000","40 %","0000004000"
"16/08/2024 01:00:00 - 02:00:00","45520.0000000000","27 %","27.2500","20 %","19.5000","23 %","23.3333","55 %","54.6667","28 %","27.7500","22 %","22.0000","17 %","16.8333","30 %","29.9167","23 %","23.4167","0 %","0.0000","40 %","0000004000"
"16/08/2024 02:00:00 - 03:00:00","45520.0416666667","7 %","7.0000","4 %","3.8333","3 %","2.8333","14 %","13.9167","2 %","2.3333","8 %","7.9167","6 %","5.6667","13 %","13.2500","7 %","6.5833","0 %","0.0000","40 %","0000004000"
"16/08/2024 03:00:00 - 04:00:00","45520.0833333333","0,08 %","0.0833","","0.0833","0 %","0.0000","","0.0833","","0.8333","","0.3333","","0.0833","","0.1667","","0.0833","0 %","0.0000","40 %","0000004000"
"16/08/2024 04:00:00 - 05:00:00","45520.1250000000","0,83 %","0.8333","","0.3333","","0.3333","2 %","2.3333","","0.9167","","0.4167","","0.1667","2 %","1.8333","","0.8333","0 %","0.0000","40 %","0000004000"
"16/08/2024 05:00:00 - 06:00:00","45520.1666666667","30 %","29.9167","20 %","20.0000","31 %","31.0833","34 %","33.8333","33 %","32.6667","32 %","31.5833","20 %","20.0833","42 %","42.1667","28 %","28.0000","0 %","0.0000","40 %","0000004000"
"16/08/2024 06:00:00 - 07:00:00","45520.2083333333","20 %","20.0000","13 %","12.5833","24 %","23.6667","22 %","22.2500","24 %","24.0000","24 %","23.5000","13 %","13.1667","24 %","23.9167","18 %","17.5000","0 %","0.0000","40 %","0000004000"
"16/08/2024 07:00:00 - 08:00:00","45520.2500000000","30 %","30.0833","19 %","18.7500","35 %","34.8333","33 %","32.7500","37 %","36.6667","35 %","35.4167","19 %","19.1667","36 %","35.6667","27 %","27.3333","0 %","0.0000","40 %","0000004000"
"16/08/2024 08:00:00 - 09:00:00","45520.2916666667","25 %","25.0000","14 %","14.3333","31 %","31.0833","23 %","22.6667","32 %","31.9167","33 %","32.7500","15 %","14.7500","29 %","29.2500","24 %","23.8333","0 %","0.0000","40 %","0000004000"
"16/08/2024 09:00:00 - 10:00:00","45520.3333333333","8 %","8.0000","5 %","5.2500","8 %","8.0000","10 %","9.5000","9 %","9.4167","9 %","9.0000","6 %","5.8333","10 %","9.6667","7 %","7.0833","0 %","0.0000","40 %","0000004000"
"16/08/2024 10:00:00 - 11:00:00","45520.3750000000","7,67 %","7.6667","4 %","3.5833","8 %","7.7500","10 %","10.5000","10 %","9.9167","8 %","8.1667","5 %","5.1667","10 %","10.4167","6 %","6.2500","0 %","0.0000","40 %","0000004000"
"16/08/2024 11:00:00 - 12:00:00","45520.4166666667","1 %","1.0000","","0.4167","","0.9167","2 %","2.0833","2 %","1.7500","","0.9167","","0.4167","2 %","1.5833","","0.8333","0 %","0.0000","40 %","0000004000"
"16/08/2024 12:00:00 - 13:00:00","45520.4583333333","8,50 %","8.5000","1 %","1.3333","2 %","2.1667","34 %","34.2500","8 %","7.6667","2 %","2.0000","2 %","2.4167","13 %","12.8333","5 %","5.3333","0 %","0.0000","40 %","0000004000"
"16/08/2024 13:00:00 - 14:00:00","45520.5000000000","3,50 %","3.5000","","0.7500","2 %","1.6667","10 %","9.5000","3 %","2.7500","4 %","3.6667","2 %","1.9167","6 %","5.9167","2 %","1.5000","0 %","0.0000","40 %","0000004000"
"16/08/2024 14:00:00 - 15:00:00","45520.5416666667","5,83 %","5.8333","2 %","2.0000","7 %","7.0833","7 %","7.4167","8 %","7.5000","8 %","8.0000","2 %","2.4167","7 %","6.9167","6 %","6.0833","0 %","0.0000","40 %","0000004000"
"16/08/2024 15:00:00 - 16:00:00","45520.5833333333","7,17 %","7.1667","3 %","2.7500","10 %","9.7500","8 %","8.0000","10 %","10.2500","10 %","9.5000","4 %","4.0000","7 %","7.3333","6 %","5.9167","0 %","0.0000","40 %","0000004000"
"16/08/2024 16:00:00 - 17:00:00","45520.6250000000","11 %","11.4167","6 %","5.9167","13 %","12.5833","11 %","10.9167","17 %","16.6667","14 %","14.5000","6 %","6.5000","12 %","12.5000","11 %","11.3333","0 %","0.0000","40 %","0000004000"
"16/08/2024 17:00:00 - 18:00:00","45520.6666666667","5,25 %","5.2500","2 %","2.0000","7 %","7.2500","4 %","4.0833","8 %","7.7500","7 %","6.5833","2 %","2.0833","7 %","7.3333","5 %","5.3333","0 %","0.0000","40 %","0000004000"
"16/08/2024 18:00:00 - 19:00:00","45520.7083333333","0,08 %","0.0833","","0.0833","0 %","0.0000","","0.0833","","0.7500","","0.1667","0 %","0.0000","","0.0833","","0.0833","0 %","0.0000","40 %","0000004000"
"16/08/2024 19:00:00 - 20:00:00","45520.7500000000","0,08 %","0.0833","0 %","0.0000","0 %","0.0000","0 %","0.0000","","0.6667","","0.2500","","0.0833","","0.0833","","0.0833","0 %","0.0000","40 %","0000004000"
"16/08/2024 20:00:00 - 21:00:00","45520.7916666667","0,17 %","0.1667","0 %","0.0000","","0.0833","","0.2500","1 %","1.0000","","0.2500","","0.0833","","0.1667","","0.1667","0 %","0.0000","40 %","0000004000"
"16/08/2024 21:00:00 - 22:00:00","45520.8333333333","0,25 %","0.2500","","0.1667","","0.1667","","0.5833","","0.8333","","0.2500","","0.1667","","0.5833","","0.1667","0 %","0.0000","40 %","0000004000"
"16/08/2024 22:00:00 - 23:00:00","45520.8750000000","0,58 %","0.5833","","0.0833","","0.4167","","0.6667","1 %","1.3333","","0.6667","","0.3333","1 %","1.1667","","0.3333","0 %","0.0000","40 %","0000004000"
"16/08/2024 23:00:00 - 00:00:00","45520.9166666667","21 %","21.3333","17 %","17.3333","21 %","20.7500","27 %","27.0000","23 %","22.6667","21 %","20.6667","18 %","18.3333","25 %","24.5833","20 %","20.1667","0 %","0.0000","40 %","0000004000"
"17/08/2024 00:00:00 - 01:00:00","45520.9583333333","28 %","27.6667","13 %","12.8333","31 %","31.2500","28 %","27.5000","30 %","30.3333","24 %","23.6667","18 %","18.1667","48 %","48.0000","30 %","29.7500","0 %","0.0000","40 %","0000004000"
"17/08/2024 01:00:00 - 02:00:00","45521.0000000000","22 %","22.0000","9 %","9.2500","20 %","20.4167","44 %","44.3333","26 %","26.5000","23 %","23.4167","12 %","12.2500","25 %","25.1667","13 %","12.6667","0 %","0.0000","40 %","0000004000"
"17/08/2024 02:00:00 - 03:00:00","45521.0416666667","11 %","10.9167","7 %","7.3333","13 %","12.9167","23 %","22.5833","8 %","8.2500","10 %","9.5000","6 %","6.1667","13 %","13.0833","8 %","7.5000","0 %","0.0000","40 %","0000004000"
"17/08/2024 03:00:00 - 04:00:00","45521.0833333333","0,08 %","0.0833","","0.0833","","0.1667","","0.1667","","0.6667","","0.1667","","0.0833","","0.0833","","0.2500","0 %","0.0000","40 %","0000004000"
"17/08/2024 04:00:00 - 05:00:00","45521.1250000000","27 %","27.4167","4 %","3.6667","44 %","43.5000","15 %","15.1667","45 %","44.6667","41 %","41.3333","5 %","4.7500","43 %","43.0000","23 %","23.4167","0 %","0.0000","40 %","0000004000"
"17/08/2024 05:00:00 - 06:00:00","45521.1666666667","22 %","21.7500","5 %","5.3333","31 %","31.1667","17 %","16.5833","36 %","36.3333","34 %","34.0000","6 %","6.1667","30 %","30.0000","15 %","14.7500","0 %","0.0000","40 %","0000004000"
"17/08/2024 06:00:00 - 07:00:00","45521.2083333333","0,25 %","0.2500","","0.0833","","0.0833","","0.8333","","0.9167","","0.2500","","0.1667","","0.2500","","0.1667","0 %","0.0000","40 %","0000004000"
"17/08/2024 07:00:00 - 08:00:00","45521.2500000000","4,67 %","4.6667","","0.5000","8 %","7.5833","4 %","3.5833","8 %","7.5000","8 %","7.5833","","0.5000","8 %","7.6667","3 %","3.0833","0 %","0.0000","40 %","0000004000"
"17/08/2024 08:00:00 - 09:00:00","45521.2916666667","0,67 %","0.6667","","0.0833","1 %","1.0833","","0.9167","2 %","1.6667","1 %","1.1667","","0.0833","","0.6667","","0.3333","0 %","0.0000","40 %","0000004000"
"17/08/2024 09:00:00 - 10:00:00","45521.3333333333","1,17 %","1.1667","","0.5833","1 %","1.0000","2 %","1.9167","2 %","1.6667","1 %","1.1667","","0.4167","2 %","2.0000","","0.6667","0 %","0.0000","40 %","0000004000"
"17/08/2024 10:00:00 - 11:00:00","45521.3750000000","0,92 %","0.9167","","0.2500","","0.5833","2 %","2.0833","1 %","1.1667","1 %","1.4167","","0.2500","2 %","1.5833","","0.6667","0 %","0.0000","40 %","0000004000"
"17/08/2024 11:00:00 - 12:00:00","45521.4166666667","0,58 %","0.5833","","0.0833","","0.4167","2 %","1.5000","1 %","1.4167","","0.5000","","0.4167","1 %","1.0000","","0.4167","0 %","0.0000","40 %","0000004000"
"17/08/2024 12:00:00 - 13:00:00","45521.4583333333","4,33 %","4.3333","3 %","2.8333","4 %","4.0833","6 %","6.2500","4 %","4.5000","5 %","4.6667","3 %","3.0000","6 %","6.2500","3 %","3.1667","0 %","0.0000","40 %","0000004000"
"17/08/2024 13:00:00 - 14:00:00","45521.5000000000","1,83 %","1.8333","","0.3333","2 %","2.1667","4 %","3.8333","2 %","2.5000","2 %","2.0833","","0.5833","4 %","3.7500","","0.9167","0 %","0.0000","40 %","0000004000"
"17/08/2024 14:00:00 - 15:00:00","45521.5416666667","0,25 %","0.2500","0 %","0.0000","","0.0833","","0.9167","","0.9167","","0.3333","","0.1667","","0.3333","","0.3333","0 %","0.0000","40 %","0000004000"
"17/08/2024 15:00:00 - 16:00:00","45521.5833333333","0,75 %","0.7500","","0.1667","","0.6667","2 %","2.0000","1 %","1.4167","1 %","1.0000","","0.1667","2 %","1.5000","","0.4167","0 %","0.0000","40 %","0000004000"
"17/08/2024 16:00:00 - 17:00:00","45521.6250000000","1 %","1.0000","","0.2500","","0.6667","2 %","2.0000","2 %","2.1667","","0.7500","","0.5833","2 %","1.5833","","0.7500","0 %","0.0000","40 %","0000004000"
