"Date et heure","Date et heure(RAW)","Somme","Somme(RAW)","Octets libres C:","Octets libres C:(RAW)","Espace disponible C:","Espace disponible C:(RAW)","Octets libres D:","Octets libres D:(RAW)","Espace disponible D:","Espace disponible D:(RAW)","Temps mort","Temps mort(RAW)","Couverture","Couverture(RAW)"
"14/01/2024 10:00:00 - 11:00:00","45305.4166666667","","","","","","","","","","","","","0 %","0000000000"
"14/01/2024 11:00:00 - 12:00:00","45305.4583333333","","","","","","","","","","","","","0 %","0000000000"
"14/01/2024 12:00:00 - 13:00:00","45305.5000000000","","","","","","","","","","","","","0 %","0000000000"
"14/01/2024 13:00:00 - 14:00:00","45305.5416666667","","","","","","","","","","","","","0 %","0000000000"
"14/01/2024 14:00:00 - 15:00:00","45305.5833333333","","","","","","","","","","","","","0 %","0000000000"
"14/01/2024 15:00:00 - 16:00:00","45305.6250000000","","","","","","","","","","","","","0 %","0000000000"
"14/01/2024 16:00:00 - 17:00:00","45305.6666666667","","","","","","","","","","","","","0 %","0000000000"
"14/01/2024 17:00:00 - 18:00:00","45305.7083333333","","","","","","","","","","","","","0 %","0000000000"
"14/01/2024 18:00:00 - 19:00:00","45305.7500000000","","","","","","","","","","","","","0 %","0000000000"
"14/01/2024 19:00:00 - 20:00:00","45305.7916666667","","","","","","","","","","","","","0 %","0000000000"
"14/01/2024 20:00:00 - 21:00:00","45305.8333333333","","","","","","","","","","","","","0 %","0000000000"
"14/01/2024 21:00:00 - 22:00:00","45305.8750000000","","","","","","","","","","","","","0 %","0000000000"
"14/01/2024 22:00:00 - 23:00:00","45305.9166666667","","","","","","","","","","","","","0 %","0000000000"
"14/01/2024 23:00:00 - 00:00:00","45305.9583333333","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 00:00:00 - 01:00:00","45306.0000000000","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 01:00:00 - 02:00:00","45306.0416666667","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 02:00:00 - 03:00:00","45306.0833333333","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 03:00:00 - 04:00:00","45306.1250000000","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 04:00:00 - 05:00:00","45306.1666666667","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 05:00:00 - 06:00:00","45306.2083333333","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 06:00:00 - 07:00:00","45306.2500000000","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 07:00:00 - 08:00:00","45306.2916666667","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 08:00:00 - 09:00:00","45306.3333333333","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 09:00:00 - 10:00:00","45306.3750000000","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 10:00:00 - 11:00:00","45306.4166666667","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 11:00:00 - 12:00:00","45306.4583333333","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 12:00:00 - 13:00:00","45306.5000000000","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 13:00:00 - 14:00:00","45306.5416666667","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 14:00:00 - 15:00:00","45306.5833333333","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 15:00:00 - 16:00:00","45306.6250000000","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 16:00:00 - 17:00:00","45306.6666666667","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 17:00:00 - 18:00:00","45306.7083333333","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 18:00:00 - 19:00:00","45306.7500000000","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 19:00:00 - 20:00:00","45306.7916666667","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 20:00:00 - 21:00:00","45306.8333333333","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 21:00:00 - 22:00:00","45306.8750000000","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 22:00:00 - 23:00:00","45306.9166666667","","","","","","","","","","","","","0 %","0000000000"
"15/01/2024 23:00:00 - 00:00:00","45306.9583333333","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 00:00:00 - 01:00:00","45307.0000000000","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 01:00:00 - 02:00:00","45307.0416666667","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 02:00:00 - 03:00:00","45307.0833333333","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 03:00:00 - 04:00:00","45307.1250000000","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 04:00:00 - 05:00:00","45307.1666666667","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 05:00:00 - 06:00:00","45307.2083333333","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 06:00:00 - 07:00:00","45307.2500000000","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 07:00:00 - 08:00:00","45307.2916666667","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 08:00:00 - 09:00:00","45307.3333333333","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 09:00:00 - 10:00:00","45307.3750000000","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 10:00:00 - 11:00:00","45307.4166666667","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 11:00:00 - 12:00:00","45307.4583333333","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 12:00:00 - 13:00:00","45307.5000000000","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 13:00:00 - 14:00:00","45307.5416666667","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 14:00:00 - 15:00:00","45307.5833333333","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 15:00:00 - 16:00:00","45307.6250000000","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 16:00:00 - 17:00:00","45307.6666666667","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 17:00:00 - 18:00:00","45307.7083333333","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 18:00:00 - 19:00:00","45307.7500000000","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 19:00:00 - 20:00:00","45307.7916666667","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 20:00:00 - 21:00:00","45307.8333333333","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 21:00:00 - 22:00:00","45307.8750000000","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 22:00:00 - 23:00:00","45307.9166666667","","","","","","","","","","","","","0 %","0000000000"
"16/01/2024 23:00:00 - 00:00:00","45307.9583333333","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 00:00:00 - 01:00:00","45308.0000000000","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 01:00:00 - 02:00:00","45308.0416666667","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 02:00:00 - 03:00:00","45308.0833333333","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 03:00:00 - 04:00:00","45308.1250000000","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 04:00:00 - 05:00:00","45308.1666666667","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 05:00:00 - 06:00:00","45308.2083333333","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 06:00:00 - 07:00:00","45308.2500000000","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 07:00:00 - 08:00:00","45308.2916666667","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 08:00:00 - 09:00:00","45308.3333333333","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 09:00:00 - 10:00:00","45308.3750000000","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 10:00:00 - 11:00:00","45308.4166666667","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 11:00:00 - 12:00:00","45308.4583333333","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 12:00:00 - 13:00:00","45308.5000000000","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 13:00:00 - 14:00:00","45308.5416666667","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 14:00:00 - 15:00:00","45308.5833333333","","","","","","","","","","","","","0 %","0000000000"
"17/01/2024 15:00:00 - 16:00:00","45308.6250000000","","","","","","","","","","","","","0 %","0000000000"
