"Date et heure","Date et heure(RAW)","Nombre de requêtes de verrouillage/s","Nombre de requêtes de verrouillage/s(RAW)","Temps d'attente moyen","Temps d'attente moyen(RAW)","Nombre de blocages/s","Nombre de blocages/s(RAW)","Temps mort","Temps mort(RAW)","Couverture","Couverture(RAW)"
"13/08/2024 00:00:00 - 01:00:00","45516.9583333333","","","","","","","","","0 %","0000000000"
"13/08/2024 01:00:00 - 02:00:00","45517.0000000000","","","","","","","","","0 %","0000000000"
"13/08/2024 02:00:00 - 03:00:00","45517.0416666667","708 #","708.1192","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 03:00:00 - 04:00:00","45517.0833333333","56 #","56.1687","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 04:00:00 - 05:00:00","45517.1250000000","142 #","142.3510","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 05:00:00 - 06:00:00","45517.1666666667","853 #","852.5260","15 ms","14.6667","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 06:00:00 - 07:00:00","45517.2083333333","1 469 #","1469.1254","28 ms","27.9167","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 07:00:00 - 08:00:00","45517.2500000000","1 105 #","1104.5333","20 ms","19.5000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 08:00:00 - 09:00:00","45517.2916666667","1 168 #","1167.7930","25 ms","25.0833","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 09:00:00 - 10:00:00","45517.3333333333","777 #","777.2563","9,17 ms","9.1667","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 10:00:00 - 11:00:00","45517.3750000000","987 #","987.2692","13 ms","12.8333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 11:00:00 - 12:00:00","45517.4166666667","4 112 #","4111.5233","4,77 ms","4.7692","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 12:00:00 - 13:00:00","45517.4583333333","1 110 #","1110.4973","3,67 ms","3.6667","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 13:00:00 - 14:00:00","45517.5000000000","1 460 #","1459.5646","11 ms","10.8333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 14:00:00 - 15:00:00","45517.5416666667","1 810 #","1809.7689","11 ms","11.4167","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 15:00:00 - 16:00:00","45517.5833333333","2 090 #","2090.0815","5,25 ms","5.2500","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 16:00:00 - 17:00:00","45517.6250000000","1 355 #","1355.3138","5,42 ms","5.4167","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 17:00:00 - 18:00:00","45517.6666666667","799 #","798.5799","12 ms","12.1667","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 18:00:00 - 19:00:00","45517.7083333333","143 #","143.4018","1,25 ms","1.2500","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 19:00:00 - 20:00:00","45517.7500000000","53 #","53.2748","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 20:00:00 - 21:00:00","45517.7916666667","65 #","64.6776","1,25 ms","1.2500","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 21:00:00 - 22:00:00","45517.8333333333","86 #","86.0917","1,33 ms","1.3333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 22:00:00 - 23:00:00","45517.8750000000","116 #","116.2265","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 23:00:00 - 00:00:00","45517.9166666667","1 415 #","1414.8467","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 00:00:00 - 01:00:00","45517.9583333333","4 742 #","4741.5932","164 598 ms","164598.3333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 01:00:00 - 02:00:00","45518.0000000000","3 511 #","3510.9502","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 02:00:00 - 03:00:00","45518.0416666667","466 #","465.7510","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 03:00:00 - 04:00:00","45518.0833333333","57 #","57.2490","0 ms","0.0000","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 04:00:00 - 05:00:00","45518.1250000000","834 #","834.3118","22 ms","21.8333","0 #","0.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 05:00:00 - 06:00:00","45518.1666666667","1 726 #","1725.9796","280 ms","280.4167","0 #","0.0000","0 %","0.0000","100 %","0000010000"
