"Date et heure","Date et heure(RAW)","Mémoire de connexion","Mémoire de connexion(RAW)","Mémoire de l'optimiseur","Mémoire de l'optimiseur(RAW)","Mémoire totale du serveur","Mémoire totale du serveur(RAW)","Mémoire du serveur cible","Mémoire du serveur cible(RAW)","Mémoire du cache SQL","Mémoire du cache SQL(RAW)","Temps mort","Temps mort(RAW)","Couverture","Couverture(RAW)"
"13/08/2024 00:00:00 - 01:00:00","45516.9583333333","","","","","","","","","","","","","0 %","0000000000"
"13/08/2024 01:00:00 - 02:00:00","45517.0000000000","","","","","","","","","","","","","0 %","0000000000"
"13/08/2024 02:00:00 - 03:00:00","45517.0416666667","1 248 Ko","1248.0000","1 640 Ko","1640.0000","55 295 867 Ko","55295867.3333","55 296 000 Ko","55296000.0000","102 992 Ko","102992.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 03:00:00 - 04:00:00","45517.0833333333","1 213 Ko","1213.3333","1 640 Ko","1640.0000","55 295 819 Ko","55295819.3333","55 296 000 Ko","55296000.0000","102 992 Ko","102992.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 04:00:00 - 05:00:00","45517.1250000000","1 203 Ko","1202.6667","1 640 Ko","1640.0000","55 293 627 Ko","55293626.6667","55 296 000 Ko","55296000.0000","102 992 Ko","102992.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 05:00:00 - 06:00:00","45517.1666666667","1 224 Ko","1224.0000","1 640 Ko","1640.0000","55 295 413 Ko","55295412.6667","55 296 000 Ko","55296000.0000","105 669 Ko","105668.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 06:00:00 - 07:00:00","45517.2083333333","1 207 Ko","1206.6667","2 597 Ko","2596.6667","55 295 793 Ko","55295792.6667","55 296 000 Ko","55296000.0000","112 121 Ko","112120.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 07:00:00 - 08:00:00","45517.2500000000","1 191 Ko","1191.3333","1 640 Ko","1640.0000","55 295 585 Ko","55295584.6667","55 296 000 Ko","55296000.0000","116 677 Ko","116676.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 08:00:00 - 09:00:00","45517.2916666667","1 204 Ko","1204.0000","1 640 Ko","1640.0000","55 295 724 Ko","55295724.0000","55 296 000 Ko","55296000.0000","119 291 Ko","119290.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 09:00:00 - 10:00:00","45517.3333333333","1 195 Ko","1194.6667","1 688 Ko","1688.0000","55 295 804 Ko","55295804.0000","55 296 000 Ko","55296000.0000","123 224 Ko","123224.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 10:00:00 - 11:00:00","45517.3750000000","1 219 Ko","1218.6667","1 640 Ko","1640.0000","55 295 902 Ko","55295902.0000","55 296 000 Ko","55296000.0000","128 556 Ko","128556.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 11:00:00 - 12:00:00","45517.4166666667","1 194 Ko","1194.4615","1 640 Ko","1640.0000","55 294 103 Ko","55294102.7692","55 296 000 Ko","55296000.0000","136 298 Ko","136298.4615","0 %","0.0000","100 %","0000010000"
"13/08/2024 12:00:00 - 13:00:00","45517.4583333333","1 153 Ko","1152.6667","1 640 Ko","1640.0000","55 296 400 Ko","55296400.0000","55 296 000 Ko","55296000.0000","144 750 Ko","144750.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 13:00:00 - 14:00:00","45517.5000000000","1 154 Ko","1154.0000","1 640 Ko","1640.0000","55 295 274 Ko","55295274.0000","55 296 000 Ko","55296000.0000","134 499 Ko","134499.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 14:00:00 - 15:00:00","45517.5416666667","1 185 Ko","1185.3333","1 640 Ko","1640.0000","55 295 127 Ko","55295126.6667","55 296 000 Ko","55296000.0000","57 869 Ko","57869.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 15:00:00 - 16:00:00","45517.5833333333","1 202 Ko","1202.0000","1 640 Ko","1640.0000","55 293 859 Ko","55293858.6667","55 296 000 Ko","55296000.0000","67 955 Ko","67954.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 16:00:00 - 17:00:00","45517.6250000000","1 185 Ko","1184.6667","1 640 Ko","1640.0000","55 295 823 Ko","55295822.6667","55 296 000 Ko","55296000.0000","76 573 Ko","76573.3333","0 %","0.0000","100 %","0000010000"
"13/08/2024 17:00:00 - 18:00:00","45517.6666666667","1 205 Ko","1205.3333","1 640 Ko","1640.0000","55 295 289 Ko","55295288.6667","55 296 000 Ko","55296000.0000","81 405 Ko","81404.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 18:00:00 - 19:00:00","45517.7083333333","1 199 Ko","1199.3333","1 640 Ko","1640.0000","55 290 797 Ko","55290797.3333","55 296 000 Ko","55296000.0000","83 570 Ko","83570.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 19:00:00 - 20:00:00","45517.7500000000","1 194 Ko","1194.0000","1 640 Ko","1640.0000","55 290 779 Ko","55290778.6667","55 296 000 Ko","55296000.0000","83 600 Ko","83600.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 20:00:00 - 21:00:00","45517.7916666667","1 189 Ko","1188.6667","1 640 Ko","1640.0000","55 294 455 Ko","55294455.3333","55 296 000 Ko","55296000.0000","83 698 Ko","83698.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 21:00:00 - 22:00:00","45517.8333333333","1 192 Ko","1192.0000","1 640 Ko","1640.0000","55 295 969 Ko","55295969.3333","55 296 000 Ko","55296000.0000","83 736 Ko","83736.0000","0 %","0.0000","100 %","0000010000"
"13/08/2024 22:00:00 - 23:00:00","45517.8750000000","1 191 Ko","1190.6667","1 640 Ko","1640.0000","55 289 702 Ko","55289702.0000","55 296 000 Ko","55296000.0000","83 737 Ko","83736.6667","0 %","0.0000","100 %","0000010000"
"13/08/2024 23:00:00 - 00:00:00","45517.9166666667","1 309 Ko","1308.6667","1 692 Ko","1692.0000","55 296 102 Ko","55296102.0000","55 296 000 Ko","55296000.0000","83 837 Ko","83836.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 00:00:00 - 01:00:00","45517.9583333333","1 385 Ko","1384.6667","1 640 Ko","1640.0000","55 295 977 Ko","55295977.3333","55 296 000 Ko","55296000.0000","84 321 Ko","84320.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 01:00:00 - 02:00:00","45518.0000000000","1 338 Ko","1338.0000","1 747 Ko","1746.6667","55 295 151 Ko","55295151.3333","55 296 000 Ko","55296000.0000","88 224 Ko","88224.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 02:00:00 - 03:00:00","45518.0416666667","1 249 Ko","1248.6667","1 640 Ko","1640.0000","55 295 809 Ko","55295808.6667","55 296 000 Ko","55296000.0000","62 288 Ko","62288.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 03:00:00 - 04:00:00","45518.0833333333","1 211 Ko","1211.3333","1 640 Ko","1640.0000","55 295 941 Ko","55295940.6667","55 296 000 Ko","55296000.0000","62 288 Ko","62288.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 04:00:00 - 05:00:00","45518.1250000000","1 233 Ko","1232.6667","1 640 Ko","1640.0000","55 296 169 Ko","55296168.6667","55 296 000 Ko","55296000.0000","62 701 Ko","62700.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 05:00:00 - 06:00:00","45518.1666666667","1 265 Ko","1264.6667","3 584 Ko","3584.0000","55 295 765 Ko","55295764.6667","55 296 000 Ko","55296000.0000","65 329 Ko","65329.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 06:00:00 - 07:00:00","45518.2083333333","1 209 Ko","1208.6667","2 451 Ko","2451.3333","55 295 737 Ko","55295737.3333","55 296 000 Ko","55296000.0000","70 217 Ko","70217.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 07:00:00 - 08:00:00","45518.2500000000","1 212 Ko","1212.0000","1 640 Ko","1640.0000","55 294 489 Ko","55294488.6667","55 296 000 Ko","55296000.0000","72 676 Ko","72676.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 08:00:00 - 09:00:00","45518.2916666667","1 203 Ko","1202.6667","1 640 Ko","1640.0000","55 295 636 Ko","55295636.0000","55 296 000 Ko","55296000.0000","73 995 Ko","73995.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 09:00:00 - 10:00:00","45518.3333333333","1 207 Ko","1206.6667","1 640 Ko","1640.0000","55 295 672 Ko","55295672.0000","55 296 000 Ko","55296000.0000","76 699 Ko","76698.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 10:00:00 - 11:00:00","45518.3750000000","1 195 Ko","1195.3333","1 640 Ko","1640.0000","55 295 817 Ko","55295817.3333","55 296 000 Ko","55296000.0000","80 873 Ko","80872.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 11:00:00 - 12:00:00","45518.4166666667","1 227 Ko","1227.3333","1 640 Ko","1640.0000","55 294 867 Ko","55294867.3333","55 296 000 Ko","55296000.0000","89 856 Ko","89856.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 12:00:00 - 13:00:00","45518.4583333333","1 256 Ko","1256.0000","1 732 Ko","1732.0000","55 295 889 Ko","55295889.3333","55 296 000 Ko","55296000.0000","95 797 Ko","95797.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 13:00:00 - 14:00:00","45518.5000000000","1 253 Ko","1253.3333","1 640 Ko","1640.0000","55 291 575 Ko","55291575.3333","55 296 000 Ko","55296000.0000","109 729 Ko","109728.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 14:00:00 - 15:00:00","45518.5416666667","1 221 Ko","1221.3333","1 640 Ko","1640.0000","55 294 157 Ko","55294156.6667","55 296 000 Ko","55296000.0000","115 235 Ko","115234.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 15:00:00 - 16:00:00","45518.5833333333","1 205 Ko","1204.6667","1 640 Ko","1640.0000","55 295 502 Ko","55295502.0000","55 296 000 Ko","55296000.0000","120 007 Ko","120007.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 16:00:00 - 17:00:00","45518.6250000000","1 213 Ko","1213.3333","1 640 Ko","1640.0000","55 295 702 Ko","55295702.0000","55 296 000 Ko","55296000.0000","126 057 Ko","126057.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 17:00:00 - 18:00:00","45518.6666666667","1 183 Ko","1183.3333","1 640 Ko","1640.0000","55 292 862 Ko","55292862.0000","55 296 000 Ko","55296000.0000","131 058 Ko","131058.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 18:00:00 - 19:00:00","45518.7083333333","1 181 Ko","1180.6667","1 640 Ko","1640.0000","55 295 777 Ko","55295777.3333","55 296 000 Ko","55296000.0000","131 896 Ko","131896.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 19:00:00 - 20:00:00","45518.7500000000","1 172 Ko","1172.0000","1 640 Ko","1640.0000","55 290 643 Ko","55290643.3333","55 296 000 Ko","55296000.0000","131 904 Ko","131904.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 20:00:00 - 21:00:00","45518.7916666667","1 167 Ko","1167.3333","1 640 Ko","1640.0000","55 291 175 Ko","55291174.6667","55 296 000 Ko","55296000.0000","131 949 Ko","131949.3333","0 %","0.0000","100 %","0000010000"
"14/08/2024 21:00:00 - 22:00:00","45518.8333333333","1 155 Ko","1155.3333","1 640 Ko","1640.0000","55 295 403 Ko","55295403.3333","55 296 000 Ko","55296000.0000","131 968 Ko","131968.0000","0 %","0.0000","100 %","0000010000"
"14/08/2024 22:00:00 - 23:00:00","45518.8750000000","1 161 Ko","1161.3333","1 640 Ko","1640.0000","55 295 564 Ko","55295564.0000","55 296 000 Ko","55296000.0000","131 969 Ko","131968.6667","0 %","0.0000","100 %","0000010000"
"14/08/2024 23:00:00 - 00:00:00","45518.9166666667","1 262 Ko","1262.0000","1 640 Ko","1640.0000","55 295 177 Ko","55295176.6667","55 296 000 Ko","55296000.0000","121 085 Ko","121084.6667","0 %","0.0000","100 %","0000010000"
"15/08/2024 00:00:00 - 01:00:00","45518.9583333333","1 372 Ko","1372.0000","1 640 Ko","1640.0000","55 295 976 Ko","55295976.0000","55 296 000 Ko","55296000.0000","76 182 Ko","76182.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 01:00:00 - 02:00:00","45519.0000000000","1 301 Ko","1300.6667","1 640 Ko","1640.0000","55 295 749 Ko","55295748.6667","55 296 000 Ko","55296000.0000","80 169 Ko","80169.3333","0 %","0.0000","100 %","0000010000"
"15/08/2024 02:00:00 - 03:00:00","45519.0416666667","1 205 Ko","1204.6667","1 640 Ko","1640.0000","55 295 688 Ko","55295688.0000","55 296 000 Ko","55296000.0000","58 904 Ko","58904.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 03:00:00 - 04:00:00","45519.0833333333","1 157 Ko","1157.3333","1 640 Ko","1640.0000","55 295 667 Ko","55295666.6667","55 296 000 Ko","55296000.0000","54 648 Ko","54648.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 04:00:00 - 05:00:00","45519.1250000000","1 158 Ko","1158.0000","1 640 Ko","1640.0000","55 291 785 Ko","55291785.3333","55 296 000 Ko","55296000.0000","54 648 Ko","54648.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 05:00:00 - 06:00:00","45519.1666666667","1 182 Ko","1182.0000","1 640 Ko","1640.0000","55 295 241 Ko","55295240.6667","55 296 000 Ko","55296000.0000","54 661 Ko","54660.6667","0 %","0.0000","100 %","0000010000"
"15/08/2024 06:00:00 - 07:00:00","45519.2083333333","1 149 Ko","1149.3333","1 640 Ko","1640.0000","55 295 888 Ko","55295888.0000","55 296 000 Ko","55296000.0000","56 226 Ko","56226.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 07:00:00 - 08:00:00","45519.2500000000","1 156 Ko","1156.0000","1 640 Ko","1640.0000","55 295 496 Ko","55295496.0000","55 296 000 Ko","55296000.0000","59 442 Ko","59442.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 08:00:00 - 09:00:00","45519.2916666667","1 119 Ko","1118.6667","2 873 Ko","2873.3333","55 295 794 Ko","55295794.0000","55 296 000 Ko","55296000.0000","64 168 Ko","64168.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 09:00:00 - 10:00:00","45519.3333333333","1 157 Ko","1157.3333","1 640 Ko","1640.0000","55 292 881 Ko","55292880.6667","55 296 000 Ko","55296000.0000","66 669 Ko","66669.3333","0 %","0.0000","100 %","0000010000"
"15/08/2024 10:00:00 - 11:00:00","45519.3750000000","1 237 Ko","1237.3333","1 640 Ko","1640.0000","55 295 757 Ko","55295756.6667","55 296 000 Ko","55296000.0000","69 069 Ko","69068.6667","0 %","0.0000","100 %","0000010000"
"15/08/2024 11:00:00 - 12:00:00","45519.4166666667","1 187 Ko","1187.3333","1 640 Ko","1640.0000","55 295 732 Ko","55295732.0000","55 296 000 Ko","55296000.0000","73 504 Ko","73504.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 12:00:00 - 13:00:00","45519.4583333333","1 219 Ko","1218.6667","1 640 Ko","1640.0000","55 292 895 Ko","55292894.6667","55 296 000 Ko","55296000.0000","81 881 Ko","81880.6667","0 %","0.0000","100 %","0000010000"
"15/08/2024 13:00:00 - 14:00:00","45519.5000000000","1 202 Ko","1202.0000","1 640 Ko","1640.0000","55 295 827 Ko","55295826.6667","55 296 000 Ko","55296000.0000","84 451 Ko","84450.6667","0 %","0.0000","100 %","0000010000"
"15/08/2024 14:00:00 - 15:00:00","45519.5416666667","1 201 Ko","1200.6667","1 640 Ko","1640.0000","55 295 359 Ko","55295358.6667","55 296 000 Ko","55296000.0000","84 960 Ko","84960.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 15:00:00 - 16:00:00","45519.5833333333","1 241 Ko","1240.6667","1 640 Ko","1640.0000","55 291 197 Ko","55291196.6667","55 296 000 Ko","55296000.0000","85 292 Ko","85292.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 16:00:00 - 17:00:00","45519.6250000000","1 199 Ko","1198.6667","1 640 Ko","1640.0000","55 292 113 Ko","55292113.3333","55 296 000 Ko","55296000.0000","85 605 Ko","85605.3333","0 %","0.0000","100 %","0000010000"
"15/08/2024 17:00:00 - 18:00:00","45519.6666666667","1 203 Ko","1202.6667","1 640 Ko","1640.0000","55 291 731 Ko","55291730.6667","55 296 000 Ko","55296000.0000","85 836 Ko","85836.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 18:00:00 - 19:00:00","45519.7083333333","1 199 Ko","1199.3333","1 640 Ko","1640.0000","55 291 343 Ko","55291342.6667","55 296 000 Ko","55296000.0000","85 904 Ko","85904.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 19:00:00 - 20:00:00","45519.7500000000","1 204 Ko","1204.0000","1 640 Ko","1640.0000","55 288 265 Ko","55288265.3333","55 296 000 Ko","55296000.0000","85 904 Ko","85904.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 20:00:00 - 21:00:00","45519.7916666667","1 196 Ko","1196.0000","1 640 Ko","1640.0000","55 290 899 Ko","55290899.3333","55 296 000 Ko","55296000.0000","85 947 Ko","85946.6667","0 %","0.0000","100 %","0000010000"
"15/08/2024 21:00:00 - 22:00:00","45519.8333333333","1 201 Ko","1200.6667","1 640 Ko","1640.0000","55 290 396 Ko","55290396.0000","55 296 000 Ko","55296000.0000","85 976 Ko","85976.0000","0 %","0.0000","100 %","0000010000"
"15/08/2024 22:00:00 - 23:00:00","45519.8750000000","1 197 Ko","1196.6667","1 640 Ko","1640.0000","55 292 060 Ko","55292060.0000","55 296 000 Ko","55296000.0000","85 977 Ko","85976.6667","0 %","0.0000","100 %","0000010000"
"15/08/2024 23:00:00 - 00:00:00","45519.9166666667","1 288 Ko","1288.0000","1 640 Ko","1640.0000","55 293 806 Ko","55293806.0000","55 296 000 Ko","55296000.0000","86 059 Ko","86058.6667","0 %","0.0000","100 %","0000010000"
"16/08/2024 00:00:00 - 01:00:00","45519.9583333333","1 412 Ko","1412.0000","1 760 Ko","1760.0000","55 295 262 Ko","55295262.0000","55 296 000 Ko","55296000.0000","86 337 Ko","86337.3333","0 %","0.0000","100 %","0000010000"
"16/08/2024 01:00:00 - 02:00:00","45520.0000000000","1 358 Ko","1358.0000","1 640 Ko","1640.0000","55 295 883 Ko","55295883.3333","55 296 000 Ko","55296000.0000","87 448 Ko","87448.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 02:00:00 - 03:00:00","45520.0416666667","1 233 Ko","1232.6667","1 640 Ko","1640.0000","55 295 981 Ko","55295980.6667","55 296 000 Ko","55296000.0000","87 456 Ko","87456.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 03:00:00 - 04:00:00","45520.0833333333","1 209 Ko","1208.6667","1 640 Ko","1640.0000","55 289 989 Ko","55289988.6667","55 296 000 Ko","55296000.0000","87 456 Ko","87456.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 04:00:00 - 05:00:00","45520.1250000000","1 217 Ko","1216.6667","1 640 Ko","1640.0000","55 290 945 Ko","55290945.3333","55 296 000 Ko","55296000.0000","87 456 Ko","87456.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 05:00:00 - 06:00:00","45520.1666666667","1 282 Ko","1282.0000","1 640 Ko","1640.0000","55 295 985 Ko","55295985.3333","55 296 000 Ko","55296000.0000","89 386 Ko","89386.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 06:00:00 - 07:00:00","45520.2083333333","1 233 Ko","1232.6667","1 640 Ko","1640.0000","55 294 617 Ko","55294616.6667","55 296 000 Ko","55296000.0000","93 742 Ko","93742.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 07:00:00 - 08:00:00","45520.2500000000","1 267 Ko","1267.3333","7 367 Ko","7366.6667","55 296 034 Ko","55296034.0000","55 296 000 Ko","55296000.0000","99 576 Ko","99576.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 08:00:00 - 09:00:00","45520.2916666667","1 224 Ko","1224.0000","1 632 Ko","1632.0000","55 295 745 Ko","55295744.6667","55 296 000 Ko","55296000.0000","103 196 Ko","103196.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 09:00:00 - 10:00:00","45520.3333333333","1 221 Ko","1221.3333","1 632 Ko","1632.0000","55 296 065 Ko","55296065.3333","55 296 000 Ko","55296000.0000","107 491 Ko","107491.3333","0 %","0.0000","100 %","0000010000"
"16/08/2024 10:00:00 - 11:00:00","45520.3750000000","1 242 Ko","1242.0000","1 643 Ko","1642.6667","55 295 738 Ko","55295738.0000","55 296 000 Ko","55296000.0000","114 823 Ko","114823.3333","0 %","0.0000","100 %","0000010000"
"16/08/2024 11:00:00 - 12:00:00","45520.4166666667","1 245 Ko","1245.3333","1 648 Ko","1648.0000","55 295 867 Ko","55295866.6667","55 296 000 Ko","55296000.0000","123 772 Ko","123772.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 12:00:00 - 13:00:00","45520.4583333333","1 241 Ko","1240.6667","1 648 Ko","1648.0000","55 295 529 Ko","55295529.3333","55 296 000 Ko","55296000.0000","127 731 Ko","127730.6667","0 %","0.0000","100 %","0000010000"
"16/08/2024 13:00:00 - 14:00:00","45520.5000000000","1 243 Ko","1242.6667","1 641 Ko","1641.3333","55 295 904 Ko","55295904.0000","55 296 000 Ko","55296000.0000","138 719 Ko","138719.3333","0 %","0.0000","100 %","0000010000"
"16/08/2024 14:00:00 - 15:00:00","45520.5416666667","1 235 Ko","1235.3333","1 640 Ko","1640.0000","55 295 999 Ko","55295999.3333","55 296 000 Ko","55296000.0000","146 131 Ko","146130.6667","0 %","0.0000","100 %","0000010000"
"16/08/2024 15:00:00 - 16:00:00","45520.5833333333","1 208 Ko","1208.0000","1 640 Ko","1640.0000","55 295 895 Ko","55295895.3333","55 296 000 Ko","55296000.0000","151 268 Ko","151268.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 16:00:00 - 17:00:00","45520.6250000000","1 181 Ko","1181.3333","1 640 Ko","1640.0000","55 297 281 Ko","55297280.6667","55 296 000 Ko","55296000.0000","156 589 Ko","156588.6667","0 %","0.0000","100 %","0000010000"
"16/08/2024 17:00:00 - 18:00:00","45520.6666666667","1 178 Ko","1178.0000","1 640 Ko","1640.0000","55 296 019 Ko","55296019.3333","55 296 000 Ko","55296000.0000","160 746 Ko","160746.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 18:00:00 - 19:00:00","45520.7083333333","1 173 Ko","1173.3333","1 640 Ko","1640.0000","55 296 675 Ko","55296675.3333","55 296 000 Ko","55296000.0000","161 440 Ko","161440.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 19:00:00 - 20:00:00","45520.7500000000","1 177 Ko","1176.6667","1 640 Ko","1640.0000","55 289 877 Ko","55289876.6667","55 296 000 Ko","55296000.0000","161 440 Ko","161440.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 20:00:00 - 21:00:00","45520.7916666667","1 179 Ko","1178.6667","1 640 Ko","1640.0000","55 293 643 Ko","55293642.6667","55 296 000 Ko","55296000.0000","161 477 Ko","161477.3333","0 %","0.0000","100 %","0000010000"
"16/08/2024 21:00:00 - 22:00:00","45520.8333333333","1 167 Ko","1167.3333","1 640 Ko","1640.0000","55 295 961 Ko","55295961.3333","55 296 000 Ko","55296000.0000","161 496 Ko","161496.0000","0 %","0.0000","100 %","0000010000"
"16/08/2024 22:00:00 - 23:00:00","45520.8750000000","1 163 Ko","1163.3333","1 640 Ko","1640.0000","55 289 641 Ko","55289641.3333","55 296 000 Ko","55296000.0000","161 497 Ko","161496.6667","0 %","0.0000","100 %","0000010000"
"16/08/2024 23:00:00 - 00:00:00","45520.9166666667","1 285 Ko","1284.6667","1 640 Ko","1640.0000","55 295 315 Ko","55295315.3333","55 296 000 Ko","55296000.0000","129 506 Ko","129506.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 00:00:00 - 01:00:00","45520.9583333333","1 335 Ko","1334.6667","1 640 Ko","1640.0000","55 296 118 Ko","55296118.0000","55 296 000 Ko","55296000.0000","33 764 Ko","33764.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 01:00:00 - 02:00:00","45521.0000000000","1 315 Ko","1315.3333","1 640 Ko","1640.0000","55 295 965 Ko","55295965.3333","55 296 000 Ko","55296000.0000","37 027 Ko","37027.3333","0 %","0.0000","100 %","0000010000"
"17/08/2024 02:00:00 - 03:00:00","45521.0416666667","1 197 Ko","1196.6667","1 640 Ko","1640.0000","55 295 940 Ko","55295940.0000","55 296 000 Ko","55296000.0000","7 723 Ko","7722.6667","0 %","0.0000","100 %","0000010000"
"17/08/2024 03:00:00 - 04:00:00","45521.0833333333","1 151 Ko","1151.3333","1 640 Ko","1640.0000","55 294 641 Ko","55294641.3333","55 296 000 Ko","55296000.0000","1 824 Ko","1824.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 04:00:00 - 05:00:00","45521.1250000000","1 173 Ko","1173.3333","1 719 Ko","1719.3333","55 295 449 Ko","55295448.6667","55 296 000 Ko","55296000.0000","3 727 Ko","3727.3333","0 %","0.0000","100 %","0000010000"
"17/08/2024 05:00:00 - 06:00:00","45521.1666666667","1 168 Ko","1168.0000","1 640 Ko","1640.0000","55 297 008 Ko","55297008.0000","55 296 000 Ko","55296000.0000","7 559 Ko","7558.6667","0 %","0.0000","100 %","0000010000"
"17/08/2024 06:00:00 - 07:00:00","45521.2083333333","1 201 Ko","1201.3333","1 640 Ko","1640.0000","55 295 679 Ko","55295678.6667","55 296 000 Ko","55296000.0000","8 328 Ko","8328.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 07:00:00 - 08:00:00","45521.2500000000","1 197 Ko","1197.3333","1 640 Ko","1640.0000","55 295 925 Ko","55295924.6667","55 296 000 Ko","55296000.0000","10 329 Ko","10329.3333","0 %","0.0000","100 %","0000010000"
"17/08/2024 08:00:00 - 09:00:00","45521.2916666667","1 195 Ko","1195.3333","1 640 Ko","1640.0000","55 295 180 Ko","55295180.0000","55 296 000 Ko","55296000.0000","10 696 Ko","10696.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 09:00:00 - 10:00:00","45521.3333333333","1 218 Ko","1218.0000","1 640 Ko","1640.0000","55 294 985 Ko","55294985.3333","55 296 000 Ko","55296000.0000","11 769 Ko","11768.6667","0 %","0.0000","100 %","0000010000"
"17/08/2024 10:00:00 - 11:00:00","45521.3750000000","1 201 Ko","1201.3333","1 640 Ko","1640.0000","55 295 733 Ko","55295733.3333","55 296 000 Ko","55296000.0000","14 661 Ko","14660.6667","0 %","0.0000","100 %","0000010000"
"17/08/2024 11:00:00 - 12:00:00","45521.4166666667","1 193 Ko","1192.6667","1 640 Ko","1640.0000","55 292 646 Ko","55292646.0000","55 296 000 Ko","55296000.0000","16 993 Ko","16993.3333","0 %","0.0000","100 %","0000010000"
"17/08/2024 12:00:00 - 13:00:00","45521.4583333333","1 211 Ko","1211.3333","1 640 Ko","1640.0000","55 294 109 Ko","55294108.6667","55 296 000 Ko","55296000.0000","21 271 Ko","21270.6667","0 %","0.0000","100 %","0000010000"
"17/08/2024 13:00:00 - 14:00:00","45521.5000000000","1 199 Ko","1199.3333","1 640 Ko","1640.0000","55 295 965 Ko","55295965.3333","55 296 000 Ko","55296000.0000","24 346 Ko","24346.0000","0 %","0.0000","100 %","0000010000"
"17/08/2024 14:00:00 - 15:00:00","45521.5416666667","1 188 Ko","1188.0000","1 640 Ko","1640.0000","55 294 153 Ko","55294153.3333","55 296 000 Ko","55296000.0000","26 163 Ko","26162.6667","0 %","0.0000","100 %","0000010000"
